simulation_id,network_type,converged,step,theory,num_agents,true_probs_old,true_probs_new
251,cycle,True,2,Old Theory,10,0.2,0.8
252,cycle,True,11,New Theory,10,0.2,0.8
253,cycle,True,7,New Theory,10,0.2,0.8
254,cycle,True,7,New Theory,10,0.2,0.8
255,cycle,True,9,New Theory,10,0.2,0.8
256,cycle,True,5,New Theory,10,0.2,0.8
257,cycle,True,10,New Theory,10,0.2,0.8
258,cycle,True,10,New Theory,10,0.2,0.8
259,cycle,True,6,New Theory,10,0.2,0.8
260,cycle,True,7,New Theory,10,0.2,0.8
261,cycle,True,2,Old Theory,10,0.2,0.8
262,cycle,True,8,New Theory,10,0.2,0.8
263,cycle,True,1,Old Theory,10,0.2,0.8
264,cycle,True,4,Old Theory,10,0.2,0.8
265,cycle,True,7,New Theory,10,0.2,0.8
266,cycle,True,6,New Theory,10,0.2,0.8
267,cycle,True,9,New Theory,10,0.2,0.8
268,cycle,True,2,Old Theory,10,0.2,0.8
269,cycle,True,10,New Theory,10,0.2,0.8
270,cycle,True,1,Old Theory,10,0.2,0.8
271,cycle,True,6,New Theory,10,0.2,0.8
272,cycle,True,2,Old Theory,10,0.2,0.8
273,cycle,True,7,New Theory,10,0.2,0.8
274,cycle,True,9,New Theory,10,0.2,0.8
275,cycle,True,7,New Theory,10,0.2,0.8
276,cycle,True,10,New Theory,10,0.2,0.8
277,cycle,True,8,New Theory,10,0.2,0.8
278,cycle,True,7,New Theory,10,0.2,0.8
279,cycle,True,2,Old Theory,10,0.2,0.8
280,cycle,True,1,Old Theory,10,0.2,0.8
281,cycle,True,8,New Theory,10,0.2,0.8
282,cycle,True,7,New Theory,10,0.2,0.8
283,cycle,True,8,New Theory,10,0.2,0.8
284,cycle,True,2,Old Theory,10,0.2,0.8
285,cycle,True,8,New Theory,10,0.2,0.8
286,cycle,True,1,Old Theory,10,0.2,0.8
287,cycle,True,9,New Theory,10,0.2,0.8
288,cycle,True,7,New Theory,10,0.2,0.8
289,cycle,True,7,New Theory,10,0.2,0.8
290,cycle,True,8,New Theory,10,0.2,0.8
291,cycle,True,6,New Theory,10,0.2,0.8
292,cycle,True,6,New Theory,10,0.2,0.8
293,cycle,True,1,Old Theory,10,0.2,0.8
294,cycle,True,1,Old Theory,10,0.2,0.8
295,cycle,True,7,New Theory,10,0.2,0.8
296,cycle,True,1,Old Theory,10,0.2,0.8
297,cycle,True,11,New Theory,10,0.2,0.8
298,cycle,True,8,New Theory,10,0.2,0.8
299,cycle,True,11,New Theory,10,0.2,0.8
300,cycle,True,7,New Theory,10,0.2,0.8
301,cycle,True,5,Old Theory,10,0.2,0.8
302,cycle,True,5,New Theory,10,0.2,0.8
303,cycle,True,9,New Theory,10,0.2,0.8
304,cycle,True,1,Old Theory,10,0.2,0.8
305,cycle,True,8,New Theory,10,0.2,0.8
306,cycle,True,6,New Theory,10,0.2,0.8
307,cycle,True,7,New Theory,10,0.2,0.8
308,cycle,True,4,Old Theory,10,0.2,0.8
309,cycle,True,7,New Theory,10,0.2,0.8
310,cycle,True,11,New Theory,10,0.2,0.8
311,cycle,True,1,Old Theory,10,0.2,0.8
312,cycle,True,2,Old Theory,10,0.2,0.8
313,cycle,True,2,Old Theory,10,0.2,0.8
314,cycle,True,1,Old Theory,10,0.2,0.8
315,cycle,True,10,New Theory,10,0.2,0.8
316,cycle,True,9,New Theory,10,0.2,0.8
317,cycle,True,4,Old Theory,10,0.2,0.8
318,cycle,True,9,New Theory,10,0.2,0.8
319,cycle,True,1,Old Theory,10,0.2,0.8
320,cycle,True,9,New Theory,10,0.2,0.8
321,cycle,True,8,New Theory,10,0.2,0.8
322,cycle,True,2,Old Theory,10,0.2,0.8
323,cycle,True,8,New Theory,10,0.2,0.8
324,cycle,True,5,New Theory,10,0.2,0.8
325,cycle,True,7,New Theory,10,0.2,0.8
326,cycle,True,9,New Theory,10,0.2,0.8
327,cycle,True,7,New Theory,10,0.2,0.8
328,cycle,True,1,Old Theory,10,0.2,0.8
329,cycle,True,1,Old Theory,10,0.2,0.8
330,cycle,True,9,New Theory,10,0.2,0.8
331,cycle,True,8,New Theory,10,0.2,0.8
332,cycle,True,1,Old Theory,10,0.2,0.8
333,cycle,True,7,New Theory,10,0.2,0.8
334,cycle,True,9,New Theory,10,0.2,0.8
335,cycle,True,1,Old Theory,10,0.2,0.8
336,cycle,True,1,Old Theory,10,0.2,0.8
337,cycle,True,9,New Theory,10,0.2,0.8
338,cycle,True,2,Old Theory,10,0.2,0.8
339,cycle,True,2,Old Theory,10,0.2,0.8
340,cycle,True,7,New Theory,10,0.2,0.8
341,cycle,True,7,New Theory,10,0.2,0.8
342,cycle,True,4,Old Theory,10,0.2,0.8
343,cycle,True,1,Old Theory,10,0.2,0.8
344,cycle,True,7,New Theory,10,0.2,0.8
345,cycle,True,6,New Theory,10,0.2,0.8
346,cycle,True,9,New Theory,10,0.2,0.8
347,cycle,True,6,New Theory,10,0.2,0.8
348,cycle,True,2,Old Theory,10,0.2,0.8
349,cycle,True,7,New Theory,10,0.2,0.8
350,cycle,True,6,New Theory,10,0.2,0.8
351,cycle,True,8,New Theory,10,0.2,0.8
352,cycle,True,10,New Theory,10,0.2,0.8
353,cycle,True,8,New Theory,10,0.2,0.8
354,cycle,True,9,New Theory,10,0.2,0.8
355,cycle,True,8,New Theory,10,0.2,0.8
356,cycle,True,3,Old Theory,10,0.2,0.8
357,cycle,True,1,Old Theory,10,0.2,0.8
358,cycle,True,9,New Theory,10,0.2,0.8
359,cycle,True,1,Old Theory,10,0.2,0.8
360,cycle,True,8,New Theory,10,0.2,0.8
361,cycle,True,10,New Theory,10,0.2,0.8
362,cycle,True,9,New Theory,10,0.2,0.8
363,cycle,True,9,New Theory,10,0.2,0.8
364,cycle,True,6,New Theory,10,0.2,0.8
365,cycle,True,8,New Theory,10,0.2,0.8
366,cycle,True,7,New Theory,10,0.2,0.8
367,cycle,True,8,New Theory,10,0.2,0.8
368,cycle,True,7,New Theory,10,0.2,0.8
369,cycle,True,3,Old Theory,10,0.2,0.8
370,cycle,True,7,New Theory,10,0.2,0.8
371,cycle,True,9,New Theory,10,0.2,0.8
372,cycle,True,8,New Theory,10,0.2,0.8
373,cycle,True,8,New Theory,10,0.2,0.8
374,cycle,True,1,Old Theory,10,0.2,0.8
375,cycle,True,6,New Theory,10,0.2,0.8
376,cycle,True,9,New Theory,10,0.2,0.8
377,cycle,True,11,New Theory,10,0.2,0.8
378,cycle,True,7,New Theory,10,0.2,0.8
379,cycle,True,3,Old Theory,10,0.2,0.8
380,cycle,True,2,Old Theory,10,0.2,0.8
381,cycle,True,6,New Theory,10,0.2,0.8
382,cycle,True,7,New Theory,10,0.2,0.8
383,cycle,True,1,Old Theory,10,0.2,0.8
384,cycle,True,8,New Theory,10,0.2,0.8
385,cycle,True,7,New Theory,10,0.2,0.8
386,cycle,True,8,New Theory,10,0.2,0.8
387,cycle,True,10,New Theory,10,0.2,0.8
388,cycle,True,7,New Theory,10,0.2,0.8
389,cycle,True,5,New Theory,10,0.2,0.8
390,cycle,True,5,New Theory,10,0.2,0.8
391,cycle,True,11,New Theory,10,0.2,0.8
392,cycle,True,2,Old Theory,10,0.2,0.8
393,cycle,True,1,Old Theory,10,0.2,0.8
394,cycle,True,1,Old Theory,10,0.2,0.8
395,cycle,True,1,Old Theory,10,0.2,0.8
396,cycle,True,2,Old Theory,10,0.2,0.8
397,cycle,True,7,New Theory,10,0.2,0.8
398,cycle,True,9,New Theory,10,0.2,0.8
399,cycle,True,5,New Theory,10,0.2,0.8
400,cycle,True,8,New Theory,10,0.2,0.8
401,cycle,True,7,New Theory,10,0.2,0.8
402,cycle,True,1,Old Theory,10,0.2,0.8
